input,label,A,B,C
"All men are humans. All humans are mortal. Therefore, all men are", mortal, men, humans, mortal
"All dens are units. All units are parts. Therefore, all dens are", parts, dens, units, parts
"All pets are animals. All animals are organisms. Therefore, all pets are", organisms, pets, animals, organisms
"All openings are starts. All starts are beginnings. Therefore, all openings are", beginnings, openings, starts, beginnings
"All fronts are sides. All sides are surfaces. Therefore, all fronts are", surfaces, fronts, sides, surfaces
"All fences are boundaries. All boundaries are lines. Therefore, all fences are", lines, fences, boundaries, lines
"All monitors are displays. All displays are demonstrations. Therefore, all monitors are", demonstrations, monitors, displays, demonstrations
"All necks are parts. All parts are objects. Therefore, all necks are", objects, necks, parts, objects
"All governors are executives. All executives are administrators. Therefore, all governors are", administrators, governors, executives, administrators
"All explosions are increases. All increases are amounts. Therefore, all explosions are", amounts, explosions, increases, amounts
"All compositions are creations. All creations are artifacts. Therefore, all compositions are", artifacts, compositions, creations, artifacts
"All taxis are cars. All cars are automobiles. Therefore, all taxis are", automobiles, taxis, cars, automobiles
"All books are objects. All objects are content. Therefore, all books are", content, books, objects, content
"All friendships are relationships. All relationships are relations. Therefore, all friendships are", relations, friendships, relationships, relations
"All pipes are tubes. All tubes are structures. Therefore, all pipes are", structures, pipes, tubes, structures
"All optics are properties. All properties are possessions. Therefore, all optics are", possessions, optics, properties, possessions
"All waves are gestures. All gestures are motion. Therefore, all waves are", motion, waves, gestures, motion
"All vectors are variables. All variables are quantities. Therefore, all vectors are", quantities, vectors, variables, quantities
"All terminals are stations. All stations are facilities. Therefore, all terminals are", facilities, terminals, stations, facilities
"All subtitles are titles. All titles are writing. Therefore, all subtitles are", writing, subtitles, titles, writing
"All acts are events. All events are situations. Therefore, all acts are", situations, acts, events, situations
"All hubs are parts. All parts are objects. Therefore, all hubs are", objects, hubs, parts, objects
"All drills are devices. All devices are artifacts. Therefore, all drills are", artifacts, drills, devices, artifacts
"All assignments are duties. All duties are work. Therefore, all assignments are", work, assignments, duties, work
"All scheduling are planning. All planning are designs. Therefore, all scheduling are", designs, scheduling, planning, designs
"All whales are mammals. All mammals are animals. Therefore, all whales are", animals, whales, mammals, animals
"All bombers are people. All people are humans. Therefore, all bombers are", humans, bombers, people, humans
"All cartoons are shows. All shows are programs. Therefore, all cartoons are", programs, cartoons, shows, programs
"All invaders are people. All people are humans. Therefore, all invaders are", humans, invaders, people, humans
"All jars are containers. All containers are items. Therefore, all jars are", items, jars, containers, items
"All inspections are examinations. All examinations are investigations. Therefore, all inspections are", investigations, inspections, examinations, investigations
"All letters are documents. All documents are paper. Therefore, all letters are", paper, letters, documents, paper
"All filters are devices. All devices are designs. Therefore, all filters are", designs, filters, devices, designs
"All rats are animals. All animals are mammals. Therefore, all rats are", mammals, rats, animals, mammals
"All doctors are people. All people are humans. Therefore, all doctors are", humans, doctors, people, humans
"All designs are arrangements. All arrangements are structures. Therefore, all designs are", structures, designs, arrangements, structures
"All flies are insects. All insects are animals. Therefore, all flies are", animals, flies, insects, animals
"All critics are professionals. All professionals are adults. Therefore, all critics are", adults, critics, professionals, adults
"All cases are problems. All problems are questions. Therefore, all cases are", questions, cases, problems, questions
"All bicycles are toys. All toys are devices. Therefore, all bicycles are", devices, bicycles, toys, devices
"All weapons are instruments. All instruments are devices. Therefore, all weapons are", devices, weapons, instruments, devices
"All educators are workers. All workers are people. Therefore, all educators are", people, educators, workers, people
"All brothers are members. All members are units. Therefore, all brothers are", units, brothers, members, units
